POST_ID	POST_TEXT
755524065176252417	Ailes' future at Fox News in doubt after reported harassment claims https://t.co/KCYKtiGTkp
755472941928722432	California Republican staffers in Ohio develop Norovirus symptoms https://t.co/83NTwBDh7G
755472946257244162	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/6Cs5pqivdi
755473395047956488	RT @ChannelNewsAsia: North Korea missile tests 'deeply troubling': UN chief https://t.co/zXhTSp5Y20
755473396037746688	RT @ChannelNewsAsia: California Republican staffers in Ohio develop Norovirus symptoms https://t.co/oVrbEEPRHX
755473581686087680	RT @ChannelNewsAsia: North Korea missile tests 'deeply troubling': UN chief https://t.co/zXhTSp5Y20
755473992891371520	#Guam #Agana #Tamuning North Korea missile tests 'deeply troubling': UN chief https://t.co/ajuA3UmNNO
755474161921818624	#Asia North Korea missile tests 'deeply troubling': UN chief https://t.co/HQEoAOaAl1
755474316607664128	CNA | Volunteers reach out to senior citizens to help transition to digital TV https://t.co/clzGP9KjXO #sgnews https://t.co/Ukhw7Jqoah
755474317480124416	CNA | Volunteers reach out to senior citizens to help transition to digital TV https://t.co/fA7wKva2sr https://t.co/vNhRy5gII1
755474320634150916	CNA | Volunteers reach out to senior citizens to help transition to digital TV https://t.co/wTDzCnBf6W https://t.co/tRF4Mji2fo
755474325625380864	CNA | KL-Singapore High-Speed Rail projected to start around 2026 https://t.co/Aa9OnsrplG #sgnews https://t.co/tewSAT8OJp
755474328519516160	CNA | KL-Singapore High-Speed Rail projected to start around 2026 https://t.co/eP6PA8NpVZ https://t.co/VV482JNQKb
755474328532111360	CNA | KL-Singapore High-Speed Rail projected to start around 2026 https://t.co/sv41RYfDY6 https://t.co/1HSnmFLqed
755474493288701953	North Korea missile tests 'deeply troubling': UN chief https://t.co/sEnfOpORFg
755474573290799104	Melania Trump accused of plagiarising speech at Republican convention https://t.co/I4kC9ZhLVA
755474582102904834	North Korea missile tests 'deeply troubling': UN chief https://t.co/beDsCmxQ70 #UFO4UBlogAsia
755474582795157504	Rebels in eastern Congo suspected of killing seven civilians https://t.co/dtnsjwhHQA
755474585844350976	California Republican staffers in Ohio develop Norovirus symptoms https://t.co/SfMCQf2rJl
755474588272701440	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/70sBhgS4RO
755474707688849408	KL-Singapore High-Speed Rail projected to start around 2026 @asostaponti @BF_BTPTransport @BF_Singapour  https://t.co/uMgxpAaU1E
755474845278711809	Government requests for Google data hit record high. https://t.co/1YozR4jUMB
755474960051765249	RT @carlesdijous: Government requests for Google data hit record high. https://t.co/1YozR4jUMB
755475161252524032	RT @carlesdijous: Government requests for Google data hit record high. https://t.co/1YozR4jUMB
755475242936664064	North Korea missile tests 'deeply troubling': UN chief https://t.co/pV17WY6Ift
755475248225583109	Rebels in eastern Congo suspected of killing seven civilians https://t.co/j8ooD34hyX
755475249970417664	California Republican staffers in Ohio develop Norovirus symptoms https://t.co/3X6tZcHHF5
755475252520550400	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/5C5yLLFbR9
755476313817788416	@minzhan_ @ChannelNewsAsia unfortunately only in japan
755476589417201664	North Korea missile tests 'deeply troubling': UN chief https://t.co/Yp3bZ8hPw7
755476590860075008	Rebels in eastern Congo suspected of killing seven civilians https://t.co/R2NWMgkrTt
755476592181248000	California Republican staffers in Ohio develop Norovirus symptoms https://t.co/o97ib067vb
755476593380917249	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/wA8lfTGJhK
755476835526406145	North Korea missile tests 'deeply troubling': UN chief https://t.co/uBKecWJkPZ
755476837657083904	Rebels in eastern Congo suspected of killing seven civilians https://t.co/VM7PPmhgKk
755476838831521802	California Republican staffers in Ohio develop Norovirus symptoms https://t.co/txnaeMKQzb
755476840165281796	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/pH2WwOEn7K
755477339429965824	Canada to hold first Zika vaccine test on humans https://t.co/wLvpjnLCjn
755478043716706304	Taiwanese launch 'say sorry to China' contest amid actor row https://t.co/gsmsEspfNA
755478334084112384	Wall Street moves lower on mixed earnings reports https://t.co/e3rIa144dg
755478339696066561	Lufthansa's Eurowings eyes some Air Berlin operations: paper https://t.co/70sBhgAu0g
755478551697043456	Canada to hold first Zika vaccine test on humans: MONTREAL: A Canadian university said on Tuesday (Jul 19) it... https://t.co/Qk3V5btX7W
755478553072799744	Canada to hold first Zika vaccine test on humans: MONTREAL: A Canadian university said on Tuesday (Jul 19) it... https://t.co/kJZTAR4tzU
755478774301405184	RT @SimonMarksFSN: Empty seats dominate the first night of Trump's convention.  I'm live shortly @ChannelNewsAsia #RNCinCLE https://t.co/EU…
